;period_2;NAME;UPDATETIME;VALTODAY;VALTODAY_USD;NUMTRADES
191;2021-February-26;currency;2021-02-26 23:49:59;1760193,63953;23956,4590196;450642,0
192;2021-February-26;futures;2021-02-26 18:44:59;939992,21204;12793,413406799998;2313439,0
193;2021-February-26;commodity;2021-02-26 09:30:00;nan;nan;nan
194;2021-February-26;TOTALS;2021-02-26 23:50:24;4511074,72083;61396,2999622;5134054,0
195;2021-March-1;stock;2021-03-01 23:50:02;1946698,62969;26152,1929153;2105274,0
196;2021-March-1;currency;2021-03-01 23:49:59;1453818,08214;19530,7739822;448198,0
197;2021-March-1;futures;2021-03-01 18:44:59;636831,058686;8555,26810733;1617762,0
198;2021-March-1;commodity;2021-03-01 07:00:00;nan;nan;nan
199;2021-March-1;TOTALS;2021-03-01 23:50:02;4037347,77052;54238,2350048;4171234,0
200;2021-March-2;stock;2021-03-02 23:50:04;1412706,65963;19079,0799573;1901611,0
201;2021-March-2;currency;2021-03-02 23:49:59;1473285,54298;19897,218210900002;472296,0
202;2021-March-2;futures;2021-03-02 18:44:59;756168,825161;10212,3150466;1911000,0
203;2021-March-2;commodity;2021-03-02 07:00:00;nan;nan;nan
204;2021-March-2;TOTALS;2021-03-02 23:50:04;3642161,02777;49188,6132148;4284907,0
205;2021-March-3;stock;2021-03-03 23:50:29;1982499,68025;26583,7933403;1918288,0
206;2021-March-3;currency;2021-03-03 23:49:58;1247735,64188;16731,173668;426707,0
207;2021-March-3;futures;2021-03-03 18:44:59;666013,220194;8930,72416804;1708718,0
208;2021-March-3;commodity;2021-03-03 07:00:00;nan;nan;nan
209;2021-March-3;TOTALS;2021-03-03 23:50:29;3896248,54232;52245,6911763;4053713,0
210;2021-March-4;stock;2021-03-04 23:50:33;1706840,30909;23216,4103702;2195331,0
211;2021-March-4;currency;2021-03-04 23:49:59;1427923,057;19422,583057;522897,0
212;2021-March-4;futures;2021-03-04 18:44:59;679324,549027;9240,15997327;1788059,0
213;2021-March-4;commodity;2021-03-04 07:00:00;nan;nan;nan
214;2021-March-4;TOTALS;2021-03-04 23:50:33;3814087,91511;51879,1534005;4506287,0
215;2021-March-5;stock;2021-03-05 23:50:06;1701927,99581;23065,605529099998;2233552,0
216;2021-March-5;currency;2021-03-05 23:49:59;1467224,23598;19884,7516071;442591,0
217;2021-March-5;futures;2021-03-05 22:08:36;1094646,37068;14835,3405327;2753182,0
218;2021-March-5;commodity;2021-03-05 07:00:00;nan;nan;nan
219;2021-March-5;TOTALS;2021-03-05 23:50:06;4263798,60247;57785,6976688;5429325,0
220;2021-March-8;stock;2021-03-08 12:45:01;36782,8426313;494,210374274;394,0
221;2021-March-8;currency;2021-03-08 07:00:00;nan;nan;nan
222;2021-March-8;futures;2021-03-08 07:00:00;nan;nan;nan
223;2021-March-8;commodity;2021-03-08 07:00:00;nan;nan;nan
224;2021-March-8;TOTALS;2021-03-08 12:45:01;36782,8426313;494,210374274;394,0
225;2021-March-9;stock;2021-03-09 23:50:03;1853724,84833;24906,4505502;2791489,0
226;2021-March-9;currency;2021-03-09 23:49:59;1321861,25965;17760,3877552;470687,0
227;2021-March-9;futures;2021-03-09 19:36:01;705288,628806;9476,183249549998;1781553,0
228;2021-March-9;commodity;2021-03-09 07:00:00;nan;nan;nan
229;2021-March-9;TOTALS;2021-03-09 23:50:03;3880874,73679;52143,021555;5043729,0
230;2021-March-10;stock;2021-03-10 23:50:03;1895192,56977;25519,667265099997;2240119,0
231;2021-March-10;currency;2021-03-10 23:49:59;1253863,04804;16883,8609291;466062,0
232;2021-March-10;futures;2021-03-10 19:13:39;664495,808285;8947,751377319999;1649449,0
233;2021-March-10;commodity;2021-03-10 07:00:00;nan;nan;nan
234;2021-March-10;TOTALS;2021-03-10 23:50:03;3813551,42609;51351,2795715;4355630,0
235;2021-March-11;stock;2021-03-11 23:50:03;1506458,49017;20346,741395099998;1902993,0
236;2021-March-11;currency;2021-03-11 23:49:59;1280276,3867;17291,8488789;487487,0
237;2021-March-11;futures;2021-03-11 18:44:59;662967,8122;8954,2690463;1566674,0
238;2021-March-11;commodity;2021-03-11 07:00:00;nan;nan;nan
239;2021-March-11;TOTALS;2021-03-11 23:50:03;3449702,68908;46592,859320300005;3957154,0
240;2021-March-12;stock;2021-03-12 23:50:09;1462437,6422;19897,219062400003;2014515,0
241;2021-March-12;currency;2021-03-12 23:49:58;1348612,84846;18348,573985;427894,0
242;2021-March-12;futures;2021-03-12 19:26:17;667005,313574;9074,95161299;1597668,0
243;2021-March-12;commodity;2021-03-12 07:00:00;nan;nan;nan
244;2021-March-12;TOTALS;2021-03-12 23:50:09;3478055,80423;47320,744660300006;4040077,0
245;2021-March-15;stock;2021-03-15 23:50:27;1552207,69316;21116,1449304;2600972,0
246;2021-March-15;currency;2021-03-15 23:49:59;1380138,06191;18775,3194806;553994,0
247;2021-March-15;futures;2021-03-15 18:44:59;660054,162471;8979,339181270001;1662168,0
248;2021-March-15;commodity;2021-03-15 07:00:00;nan;nan;nan
249;2021-March-15;TOTALS;2021-03-15 23:50:27;3592399,91754;48870,803592300006;4817134,0
250;2021-March-16;stock;2021-03-16 23:50:02;1854918,74866;25329,450889;2163887,0
251;2021-March-16;currency;2021-03-16 23:49:59;1339154,15177;18286,5364558;478643,0
252;2021-March-16;futures;2021-03-16 18:44:59;658121,712279;8986,84193155;1746994,0
253;2021-March-16;commodity;2021-03-16 07:00:00;nan;nan;nan
254;2021-March-16;TOTALS;2021-03-16 23:50:02;3852194,61272;52602,829276300006;4389524,0
255;2021-March-17;stock;2021-03-17 23:50:11;1954646,46532;26789,9611348;2349651,0
256;2021-March-17;currency;2021-03-17 23:49:59;1509263,04965;20685,6324966;454999,0
257;2021-March-17;futures;2021-03-17 18:44:59;953696,227944;13071,1539577;2398802,0
258;2021-March-17;commodity;2021-03-17 07:00:00;nan;nan;nan
259;2021-March-17;TOTALS;2021-03-17 23:50:11;4417605,74292;60546,747589;5203452,0
260;2021-March-18;stock;2021-03-18 23:50:04;1706623,17638;23345,811482099998;2237265,0
261;2021-March-18;currency;2021-03-18 23:49:56;1531771,90484;20953,9273922;418359,0
262;2021-March-18;futures;2021-03-18 18:44:59;958248,873596;13108,3990101;2310743,0
