;Year;Month;Day;Name;CountTrades(K);OpenPrice;LowPrice;HighPrice;ClosePrice;WAPrice;VOLUMERUB
3;Год: 2021;Месяц: 2;День: 2;Юань-российский рубль__CETS;0.345;11,7321;11,6641;11,812;11,812;11,7324;603669070.8
6;Год: 2021;Месяц: 2;День: 3;Юань-российский рубль__CETS;0.284;11,7739;11,7261;11,7961;11,75;11,7719;588808142.7
9;Год: 2021;Месяц: 2;День: 4;Юань-российский рубль__CETS;0.281;11,7561;11,6461;11,7657;11,675;11,6981;512421523.4
12;Год: 2021;Месяц: 2;День: 5;Юань-российский рубль__CETS;0.378;11,636;11,5242;11,636;11,568;11,5724;414337162.8
1;Год: 2021;Месяц: 2;День: 1;Доллар США-российский рубль__CETS;64.875;75,5975;75,35;76,2;76,1475;75,7529;252893823755.0
5;Год: 2021;Месяц: 2;День: 2;Доллар США-российский рубль__CETS;81.751;75,9925;75,31;76,24;76,225;75,7899;276744543482.5
9;Год: 2021;Месяц: 2;День: 3;Доллар США-российский рубль__CETS;60.524;75,93;75,77;76,3425;75,9275;76,0161;222280070642.5
13;Год: 2021;Месяц: 2;День: 4;Доллар США-российский рубль__CETS;64.211;76,02;75,3025;76,055;75,505;75,5954;251364688480.0
17;Год: 2021;Месяц: 2;День: 5;Доллар США-российский рубль__CETS;71.109;75,44;74,5125;75,4675;74,645;74,8773;248984083812.5
1;Год: 2021;Месяц: 2;День: 1;Евро-российский рубль__CETS;8.076;91,7075;91,2;92,0775;91,785;91,536;42651484787.5
5;Год: 2021;Месяц: 2;День: 2;Евро-российский рубль__CETS;10.534;91,7025;90,73;91,82;91,73;91,2981;44348702260.0
9;Год: 2021;Месяц: 2;День: 3;Евро-российский рубль__CETS;7.254;91,485;91,0825;91,88;91,35;91,423;24147919100.0
13;Год: 2021;Месяц: 2;День: 4;Евро-российский рубль__CETS;8.379;91,295;90,28;91,3;90,33;90,6594;31051467875.0
17;Год: 2021;Месяц: 2;День: 5;Евро-российский рубль__CETS;9.161;90,3;89,46;90,33;89,94;89,7936;26492707457.5
3;Год: 2021;Месяц: 2;День: 8;Юань-российский рубль__CETS;0.286;11,5241;11,494;11,5629;11,53;11,5325;517095504.0
6;Год: 2021;Месяц: 2;День: 9;Юань-российский рубль__CETS;0.288;11,4959;11,4941;11,5559;11,5161;11,5233;838219254.2
9;Год: 2021;Месяц: 2;День: 10;Юань-российский рубль__CETS;0.355;11,4921;11,478;11,5359;11,51;11,5037;523187648.4
5;Год: 2021;Месяц: 2;День: 8;Доллар США-российский рубль__CETS;57.681;74,5;74,15;74,5775;74,3;74,3565;209554721655.0
9;Год: 2021;Месяц: 2;День: 9;Доллар США-российский рубль__CETS;65.584;74,0525;73,86;74,26;73,8875;74,0504;234915606062.5
13;Год: 2021;Месяц: 2;День: 10;Доллар США-российский рубль__CETS;63.997;73,865;73,615;74,02;73,945;73,8207;231422921137.5
5;Год: 2021;Месяц: 2;День: 8;Евро-российский рубль__CETS;6.524;89,6975;89,25;89,75;89,5825;89,507;23670481562.5
9;Год: 2021;Месяц: 2;День: 9;Евро-российский рубль__CETS;7.255;89,4025;89,325;89,785;89,5225;89,5939;38444185030.0
13;Год: 2021;Месяц: 2;День: 10;Евро-российский рубль__CETS;6.177;89,5;89,335;89,76;89,6;89,5402;25595077517.5
3;Год: 2021;Месяц: 2;День: 11;Юань-российский рубль__CETS;0.272;11,5021;11,4681;11,5219;11,478;11,4922;345569442.0
6;Год: 2021;Месяц: 2;День: 12;Юань-российский рубль__CETS;0.361;11,4959;11,458;11,5856;11,488;11,5304;749313445.1
9;Год: 2021;Месяц: 2;День: 15;Юань-российский рубль__CETS;0.328;11,4539;11,43;11,4719;11,4621;11,4494;496387087.8
5;Год: 2021;Месяц: 2;День: 11;Доллар США-российский рубль__CETS;47.776;73,8475;73,5225;73,865;73,605;73,7037;154203270547.5
9;Год: 2021;Месяц: 2;День: 12;Доллар США-российский рубль__CETS;79.485;73,83;73,5;74,4725;73,7175;74,0633;297487199380.0
13;Год: 2021;Месяц: 2;День: 15;Доллар США-российский рубль__CETS;58.157;73,38;73,125;73,49;73,325;73,3045;166129169532.5
5;Год: 2021;Месяц: 2;День: 11;Евро-российский рубль__CETS;5.353;89,52;89,255;89,5975;89,365;89,4164;19599897392.5
9;Год: 2021;Месяц: 2;День: 12;Евро-российский рубль__CETS;8.107;89,5;89,1525;90,125;89,325;89,6839;27907664600.0
13;Год: 2021;Месяц: 2;День: 15;Евро-российский рубль__CETS;7.326;88,88;88,7775;89,16;88,98;88,9301;21804693077.5
3;Год: 2021;Месяц: 2;День: 16;Юань-российский рубль__CETS;0.319;11,4439;11,4165;11,4942;11,458;11,4427;510380916.0
6;Год: 2021;Месяц: 2;День: 17;Юань-российский рубль__CETS;0.309;11,4462;11,423;11,5081;11,451;11,4583;692789398.3
9;Год: 2021;Месяц: 2;День: 18;Юань-российский рубль__CETS;0.438;11,4479;11,3988;11,4719;11,434;11,4213;1833426273.9
